             UB              LB           Time(s)
            751             504               4.3
            751             512               9.5
            751             519              15.3
            751             525              29.5
            751             527              43.0
            751             528              45.9
            751             529              50.9
            751             530              55.9
            751             532              63.8
            751             533              70.2
            751             534              75.1
            751             535              87.8
            751             536              98.6
            751             537             104.3
            751             538             114.1
            751             539             194.9
            751             540             223.3
            751             541             234.5
            751             543             249.2
            751             544             263.2
            751             546            1229.7
            751             549            1252.9
            751             550            1710.4

../solutions/ILP1/R09_12_05_10         549.026             550             751             751               0         0.26764        3600.046               0

