             UB              LB           Time(s)
            797             505               1.3
            797             526               3.0
            797             528               3.3
            797             533               4.5
            797             538               7.3
            797             539               7.9
            797             545              10.3
            797             546              10.7
            797             548              11.8
            797             549              12.8
            797             550              13.9
            797             551              15.0
            797             552              16.2
            797             553              17.5
            797             554              19.5
            797             555              21.0
            797             556              26.6
            797             559              30.7
            797             561              31.8
            797             565             117.6
            797             567             472.6
            797             569             474.8
            797             571             477.9
            797             572             480.9
            797             574             485.6
            797             577             677.0
            797             579             862.4
            797             583            1022.1
            797             585            1048.3
            797             587            1183.6
            797             588            1201.7
            797             589            1241.4
            788             589            1267.8
            788             591            1275.5
            788             592            1361.7
            788             593            1417.5
            788             594            1487.1
            788             595            1567.4
            788             596            1657.3
            788             597            1850.4
            788             598            1967.4
            788             599            2028.4
            788             600            2217.1
            788             601            2548.0
            788             602            2691.2
            788             603            2921.7

../solutions/ILP1/R08_10_05_20         602.721             603             788             768               1         0.23477        3600.005               0

