             UB              LB           Time(s)
            571             397               0.3
            571             428               0.7
            571             429               0.8
            571             455               1.2
            571             470               1.8
            571             475               2.4
            571             476               2.5
            571             478               2.8
            571             479               3.1
            571             480               3.3
            571             481               3.4
            571             482               3.8
            571             483               3.9
            571             485               5.1
            571             486               5.3
            571             491               8.8
            571             498               9.2
            571             499              13.6
            571             501              16.0
            571             502              16.3
            571             503              18.7
            571             504              18.9
            571             505              20.2
            571             506              20.9
            571             510              23.7
            571             512              25.4
            570             512              65.1
            568             512              65.2
            567             512              66.2
            565             512              66.4
            565             515              67.3
            565             516              69.1
            565             517              70.1
            565             518              71.3
            565             519              74.2
            565             520              77.9
            565             521              80.7
            565             522              83.2
            565             523              87.1
            565             524              89.7
            565             525              94.0
            565             526              97.0
            565             527              97.7
            565             528             100.4
            565             529             102.7
            565             530             105.5
            565             531             107.3
            565             532             109.4
            565             533             111.5
            565             534             114.8
            565             535             118.8
            565             536             119.9
            565             537             121.7
            565             538             123.0
            565             539             125.5
            565             540             128.3
            565             541             129.4
            565             542             130.1
            565             543             130.2
            565             544             132.1
            565             545             133.9
            565             546             137.1
            565             547             139.7
            565             548             140.5
            565             549             141.7
            565             550             143.0
            565             551             143.2
            565             552             144.0
            565             553             145.0
            565             554             145.5
            565             555             146.3
            565             556             146.5
            565             557             146.9
            565             558             147.1
            565             559             147.4
            565             560             147.5
            565             561             147.7
            565             562             148.0
            565             563             148.2
            565             564             148.3
            565             565             148.3

../solutions/ILP1/R09_08_02_02         565.000             565             565             559               3         0.00000         148.334               1

