             UB              LB           Time(s)
            998             580              34.2
            998             599              80.7
            998             601              98.9
            998             614             154.2
            998             616             179.1
            998             624             277.9
            998             625             299.8
            998             629             404.5
            998             631             483.3
            998             632             578.2
            998             633             672.6
            998             636            1062.4
            998             638            1148.6

../solutions/ILP1/R06_15_05_05         637.106             638             998             998               0         0.36072        3600.076               0

