             UB              LB           Time(s)
            501             418               0.1
            501             440               0.3
            501             441               0.3
            501             448               0.5
            501             455               0.7
            501             456               0.7
            501             460               0.9
            501             461               0.9
            501             462               1.1
            501             463               1.1
            501             465               1.2
            501             466               1.4
            501             467               1.4
            501             470               1.5
            501             471               1.7
            501             472               1.7
            501             474               2.3
            501             478               2.5
            501             479               2.6
            501             480               2.8
            501             481               2.9
            501             484               3.5
            501             486               3.7
            501             487               3.7
            501             489               3.8
            501             490               3.9
            501             491               3.9
            501             492               4.0
            501             501               4.2

../solutions/ILP1/R09_06_06_20         501.000             501             501             501               0         0.00000           4.236               1

