             UB              LB           Time(s)
            904            -242               1.0
            904             521               1.8
            904             536               3.0
            904             540               3.4
            904             542               3.5
            904             554               4.4
            904             556               4.7
            904             563               5.7
            904             564               6.0
            904             570               7.3
            904             572               8.4
            904             573               8.6
            904             576               9.1
            904             577              10.5
            904             578              11.1
            904             579              11.7
            904             580              12.6
            904             581              12.7
            904             582              13.3
            904             583              13.5
            904             584              14.1
            904             585              15.4
            904             587              23.1
            904             588              23.5
            904             589              25.2
            904             590              25.8
            904             591              26.3
            904             592              29.0
            904             593              31.6
            904             594              32.0
            904             596              32.3
            888             596              70.8
            887             596              77.2
            887             598              77.8
            859             598              82.4
            854             598              87.6
            854             605              88.1
            854             606             162.0
            854             607             162.8
            854             608             164.3
            854             609             164.9
            854             610             165.4
            854             611             167.6
            838             611             178.0
            834             611             197.8
            834             616             217.2
            834             620             289.9
            834             622             300.1
            826             622             304.7
            818             622             323.4
            818             624             329.2
            818             625             337.9
            818             626             356.3
            818             627             397.6
            814             627             426.2
            814             628             428.3
            814             629             437.3
            808             629             458.5
            808             630             469.2
            774             630             470.2
            771             630             470.3
            771             632             486.8
            771             633             494.7
            771             634             501.0
            756             634             543.2
            756             635             549.8
            756             636             551.6
            756             637             556.6
            756             638             579.3
            739             638             624.1
            739             639             632.7
            739             640             634.8
            739             641             637.3
            739             642             676.1
            739             643             680.0
            739             644             724.1
            739             645             743.6
            739             646             778.8
            739             647             815.3
            739             648             863.6
            739             649             905.1
            739             650             947.3
            739             651            1003.2
            739             652            1043.4
            739             653            1091.0
            739             654            1116.6
            739             655            1215.5
            739             656            2092.8
            739             657            2163.7
            739             658            2265.9
            739             659            2298.8
            739             660            2322.5
            739             661            2338.4
            739             662            2343.7
            739             663            2347.8
            739             664            2356.8
            739             665            2362.1
            739             666            2365.4
            739             667            2368.1
            739             668            2369.5
            739             670            2371.8
            739             671            2417.4
            739             673            2444.0
            739             674            2460.8
            739             675            2465.1
            739             676            2485.3
            739             677            2488.2
            739             678            2488.9
            739             679            2490.9
            739             680            2499.1
            739             681            2507.8
            739             682            2528.8
            739             683            2543.8
            739             684            2559.9
            739             685            2576.3
            739             686            2583.6
            739             687            2596.3
            739             688            2600.4
            739             689            2627.4
            739             690            2636.0
            739             691            2644.2
            739             692            2646.2
            739             693            2654.6
            739             694            2679.2
            739             695            2695.1
            739             696            2710.8
            739             697            2735.6
            739             698            2780.6
            739             699            2795.8
            739             700            2803.0
            739             701            2823.9
            739             702            2848.4
            739             703            2857.5
            739             704            2872.6
            739             705            2904.3
            739             706            2917.1
            739             707            2941.3
            739             708            2958.9
            739             709            2975.8
            739             710            3005.0
            739             711            3033.1
            739             712            3055.6
            736             712            3088.8
            736             713            3092.3
            736             714            3111.8
            736             715            3121.5
            736             716            3138.7
            736             717            3154.3
            736             718            3171.5
            736             719            3184.4
            736             720            3202.9
            736             721            3216.2
            736             722            3226.7
            736             723            3241.0
            736             724            3249.0
            736             725            3256.1
            736             726            3261.7
            736             727            3270.2
            736             728            3277.9
            736             729            3284.6
            736             730            3290.3
            736             731            3293.8
            736             732            3296.4
            736             733            3297.8
            736             734            3299.3
            736             735            3300.1
            736             736            3300.3

../solutions/ILP1/R06_12_03_00         736.000             736             736             736              54         0.00000        3300.330               1

