             UB              LB           Time(s)
            650             411               1.0
            650             420               2.0
            650             430               3.1
            650             432               3.3
            650             433               3.4
            650             446               5.0
            650             448               5.3
            650             453               6.6
            649             453               6.8
            649             454               7.0
            649             455               7.7
            649             456               8.3
            649             457               8.9
            649             458              10.5
            649             459              11.1
            649             460              16.6
            649             461              18.1
            649             463              19.7
            649             464              23.1
            649             465              24.0
            649             468              28.2
            649             469              29.1
            649             470              30.4
            649             471              31.4
            649             474              33.1
            649             475              34.5
            603             475              51.6
            603             476              69.6
            603             482              99.5
            603             483             143.0
            603             484             307.7
            603             485             312.9
            603             487             343.3
            603             488             353.0
            603             489             372.4
            603             490             386.1
            603             491             404.5
            603             492             413.1
            603             493             416.3
            603             494             421.1
            603             495             476.7
            603             496             501.5
            603             498             530.2
            603             499             556.8
            603             500             585.6
            603             501             611.2
            603             502             658.7
            603             503             664.6
            603             504             689.5
            603             505             704.7
            603             506             748.0
            593             506             790.4
            593             507             792.3
            593             508             806.6
            593             509             820.4
            593             510             877.1
            593             511             891.3
            593             512             924.3
            593             513             935.0
            593             514             978.1
            593             515            1020.1
            593             516            1039.8
            593             517            1082.9
            593             518            1134.9
            593             519            1221.6
            593             520            1279.9
            593             521            1308.5
            593             522            1327.3
            593             523            1363.1
            593             524            1430.5
            593             525            1471.2
            593             526            1531.5
            593             527            1574.1
            593             528            1605.7
            593             529            1626.4
            593             530            1682.3
            593             531            1720.8
            593             532            2075.7
            593             533            2124.1
            593             534            2179.1
            593             535            2211.9
            593             536            2280.2
            593             537            2306.6
            593             538            2360.0
            593             539            2397.9
            593             540            2423.9
            593             541            2476.8
            593             542            2535.3
            593             543            2591.8
            593             544            2660.2
            593             545            2710.8
            593             546            2763.2
            593             547            2811.8
            593             548            2861.8
            593             549            2921.0
            593             550            2966.5
            593             551            3045.5
            593             552            3104.2
            593             553            3150.7
            593             554            3221.4
            593             555            3268.8
            593             556            3325.0
            593             557            3379.4
            593             558            3428.9
            593             559            3490.6
            593             560            3543.2
            593             561            3588.0

../solutions/ILP1/R07_10_02_10         560.219             561             593             533               6         0.05396        3600.008               0

