             UB              LB           Time(s)
           1140             624             317.6
           1140             665             695.7
           1140             666             767.3
           1140             694            1228.4
           1140             695            1344.7
           1140             707            2016.5
           1140             709            2250.7
           1140             716            2988.3
           1140             717            3111.0
           1140             718            3476.1

../solutions/ILP1/R06_20_05_10         717.534             718            1140            1140               0         0.37018        3600.373               0

