             UB              LB           Time(s)
            571             396               0.4
            571             453               0.9
            571             454               1.0
            571             460               1.7
            571             461               2.0
            571             463               3.7
            571             464               3.9
            571             466               5.7
            571             467               6.0
            571             468               7.4
            571             469               7.7
            571             470               8.2
            571             471               8.9
            571             472              29.9
            571             474              35.4
            571             475              41.9
            571             476              45.2
            571             479              51.9
            571             480              61.9
            571             481              66.8
            571             482              84.4
            571             483              84.7
            571             484              85.9
            571             485              88.8
            571             486              92.1
            571             490             149.9
            571             494             176.2
            571             496             199.7
            566             496             206.9
            566             498             208.3
            564             498             212.4
            564             499             215.3
            562             499             218.7
            562             500             234.7
            562             501             236.3
            562             502             239.1
            562             503             248.7
            562             504             264.2
            562             505             278.6
            562             506             295.8
            562             507             316.6
            562             508             335.5
            562             509             372.3
            562             510             387.9
            562             511             408.1
            562             512             419.0
            562             513             434.7
            561             513             440.1
            561             514             459.0
            560             514             496.3
            560             515             496.5
            560             516             525.1
            560             517             550.2
            560             518             578.7
            560             519             604.7
            560             520             619.9
            560             521             644.9
            560             522             664.7
            560             523             699.4
            560             524             742.0
            560             525             791.1
            560             526             822.6
            560             527             864.0
            560             528             898.8
            560             529             929.1
            560             530             976.1
            560             531            1027.2
            560             532            1082.4
            560             533            1121.2
            560             534            1165.8
            560             535            1191.8
            560             536            1220.5
            560             537            1261.5
            560             538            1294.3
            560             539            1341.4
            560             540            1377.4
            560             541            1396.9
            560             542            1426.7
            560             543            1449.4
            560             544            1479.2
            560             545            1495.9
            560             546            1517.2
            560             547            1533.3
            560             548            1550.9
            560             549            1562.7
            560             550            1571.9
            560             551            1579.0
            560             552            1585.6
            560             553            1591.7
            560             554            1603.5
            559             554            1610.9
            559             555            1615.3
            559             556            1644.2
            559             557            1673.4
            559             558            1694.9
            559             559            1699.6

../solutions/ILP1/R09_08_08_02         559.000             559             559             547               6         0.00000        1699.555               1

