             UB              LB           Time(s)
            601             449               0.1
            601             472               0.3
            601             473               0.3
            601             481               0.4
            601             482               0.5
            601             489               0.7
            601             491               0.7
            601             492               0.7
            601             497               0.9
            601             498               1.0
            601             499               1.0
            601             500               1.1
            601             501               1.2
            601             502               1.3
            601             503               1.4
            601             504               1.7
            601             505               1.9
            601             507               2.0
            601             508               2.1
            601             517               2.2
            601             520               2.2
            584             520               3.0
            580             520               3.2
            580             523               3.3
            580             524               4.0
            580             528               4.2
            580             529               4.2
            580             530               4.6
            570             530               4.8
            570             531               4.8
            570             532               4.9
            570             534               5.2
            570             536               5.6
            570             537               5.8
            570             539               6.1
            570             540               6.2
            570             541               6.5
            570             542               7.6
            570             543               8.3
            568             543               8.4
            568             545               8.5
            568             546               9.1
            568             547               9.3
            568             548               9.5
            568             549               9.9
            568             550              10.2
            568             551              10.3
            568             552              10.5
            568             553              10.9
            568             554              11.0
            568             555              11.4
            568             556              11.6
            568             557              11.8
            568             558              11.9
            568             559              12.3
            568             560              12.4
            568             561              12.5
            568             562              12.6
            568             563              12.7
            568             564              12.7
            568             565              12.7
            568             566              12.8
            568             567              12.8
            568             568              12.8

../solutions/ILP1/R06_06_04_10         568.000             568             568             558               1         0.00000          12.817               1

