             UB              LB           Time(s)
            872             527               1.0
            872             550               2.4
            872             551               2.8
            872             565               4.3
            872             572               6.8
            872             573               7.5
            872             580              10.3
            872             584              11.8
            872             585              12.1
            872             587              13.0
            872             591              14.3
            872             593              15.4
            872             594              15.9
            872             596              17.1
            872             597              18.7
            872             598              21.1
            872             599              23.3
            872             601              32.8
            872             604              36.1
            872             606              39.8
            872             607              40.6
            872             608              53.6
            872             610              62.7
            872             611              66.4
            872             614              68.1
            872             615              70.6
            872             616              72.5
            872             617              74.7
            872             619              78.1
            872             621              79.4
            872             624              81.6
            872             630              82.7
            872             632             135.3
            869             632             178.3
            869             637             195.0
            834             637             239.8
            808             637             255.1
            805             637             399.0
            803             637             415.7
            802             637             503.7
            800             637             522.3
            795             637             527.4
            787             637             529.3
            763             637             579.7
            763             647             583.9
            761             647             594.3
            761             649             616.0
            761             650             646.1
            761             651             691.3
            761             652             695.9
            759             652             734.3
            759             653             787.9
            759             654             811.6
            759             655             903.5
            759             656             960.8
            759             657            1040.5
            759             658            1066.5
            758             658            1080.0
            758             659            1099.6
            758             660            1131.5
            758             661            1158.8
            758             662            1243.4
            758             663            1310.4
            758             664            1376.5
            758             665            1401.4
            758             666            1500.2
            758             667            1636.3
            758             668            1738.1
            758             669            1821.3
            758             670            1889.1
            758             671            2012.3
            758             672            2086.2
            758             673            2274.6
            758             674            2433.4
            758             675            2543.2
            758             676            2603.3
            758             677            2753.7
            758             678            2816.3
            758             679            2865.2
            758             680            3049.5
            758             681            3175.6
            758             682            3327.1
            758             683            3510.4

../solutions/ILP1/R06_10_04_02         682.885             683             758             740               9         0.09894        3600.011               0

