             UB              LB           Time(s)
            622             368               1.1
            622             389               3.1
            622             390               3.6
            622             409               6.1
            622             416               9.7
            622             418              10.7
            622             420              13.1
            622             421              14.6
            622             422              15.5
            622             423              19.1
            622             425              26.8
            622             428              29.7
            622             429              32.4
            622             430              32.9
            622             433              41.7
            622             434              47.7
            622             435              53.3
            622             436              55.9
            622             444             171.7
            622             446             174.6
            622             447             180.9
            622             449             182.9
            622             450             298.3
            622             451             367.0
            622             452             673.4
            622             454             676.8
            622             455             683.4
            622             459             843.4
            622             461             934.4
            622             462            1000.2
            622             464            1064.6
            606             464            1308.8
            606             465            1352.8
            606             466            1371.6
            606             467            1464.3
            606             468            1524.2
            606             469            1584.5
            606             470            1621.9
            606             471            1720.2
            606             472            1729.5
            606             473            1787.1
            606             474            1814.1
            606             475            1825.2
            606             476            1988.2
            606             477            2106.7
            606             478            2261.5
            606             479            2330.7
            606             480            2395.8
            606             481            2478.9
            606             482            2660.1
            606             483            2772.3
            606             484            2927.8
            606             485            3111.7
            606             486            3264.7
            606             487            3389.1
            604             487            3458.3

../solutions/ILP1/R05_10_05_10         486.773             487             604             534               7         0.19371        3600.006               0

