             UB              LB           Time(s)
            622             368               0.6
            622             378               1.4
            622             380               1.5
            622             394               2.1
            622             395               2.2
            622             403               3.1
            622             405               3.3
            622             408               4.1
            622             411               4.5
            622             415               4.9
            622             416               5.2
            622             417               5.6
            622             418               5.9
            622             419               6.7
            622             420               9.3
            622             422              10.0
            622             423              11.0
            622             424              13.5
            622             426              13.7
            622             428              21.1
            622             431              25.1
            622             437              34.1
            622             439              41.4
            622             440              77.4
            622             443              77.8
            622             444              78.2
            622             445              88.0
            621             445              95.2
            620             445             104.5
            620             450             111.2
            608             450             111.9
            599             450             115.5
            599             451             118.8
            599             454             125.5
            599             456             127.5
            598             456             132.9
            598             457             133.4
            598             458             139.5
            598             459             140.0
            598             460             142.7
            598             461             150.3
            598             462             151.1
            592             462             155.0
            588             462             155.0
            588             463             155.2
            588             465             156.0
            588             466             157.7
            588             468             162.2
            588             469             162.8
            588             470             166.9
            579             470             168.4
            577             470             168.5
            575             470             172.7
            575             471             173.0
            575             472             176.3
            575             473             184.4
            575             474             185.7
            575             475             188.5
            565             475             188.9
            565             476             194.3
            565             477             197.9
            565             478             200.9
            565             479             205.9
            564             479             207.1
            564             480             209.5
            564             481             213.7
            564             482             220.6
            564             483             225.9
            564             484             230.7
            564             485             232.0
            564             486             237.4
            564             487             243.0
            564             488             251.3
            564             489             260.9
            564             490             264.4
            564             491             271.2
            564             492             279.9
            564             493             284.4
            564             494             287.2
            564             495             297.9
            564             496             301.6
            564             497             305.9
            564             498             311.7
            564             499             314.9
            564             500             325.1
            564             501             333.1
            564             502             339.9
            564             503             346.9
            564             504             354.7
            564             505             363.9
            564             506             370.4
            564             507             382.3
            564             508             388.2
            564             509             402.1
            560             509             404.9
            560             510             408.0
            560             511             417.8
            560             512             425.8
            560             513             433.5
            560             514             443.7
            560             515             448.4
            560             516             456.5
            560             517             466.2
            560             518             469.6
            560             519             563.7
            560             520             568.3
            560             521             578.0
            560             522             586.4
            560             523             592.4
            560             524             596.5
            560             525             601.9
            560             526             607.4
            560             527             610.1
            560             528             613.9
            560             529             618.7
            560             530             621.9
            560             531             625.3
            560             532             629.7
            560             533             633.7
            560             534             637.4
            560             535             642.2
            560             536             646.4
            560             537             649.6
            560             538             652.1
            560             539             655.1
            560             540             657.4
            560             541             659.3
            560             542             661.1
            560             543             662.7
            560             544             665.1
            560             545             667.1
            560             546             669.4
            560             547             670.9
            560             548             672.4
            560             549             674.1
            560             550             675.1
            560             551             675.9
            560             552             676.2
            560             553             676.8
            560             554             677.2
            560             555             677.4
            560             556             677.7
            560             557             677.9
            560             558             678.0
            560             559             678.1
            560             560             678.2

../solutions/ILP1/R05_10_01_01         560.000             560             560             550              10         0.00000         678.219               1

