             UB              LB           Time(s)
            797             498               1.0
            797             525               2.9
            797             526               3.4
            797             533               5.3
            797             537               8.1
            797             541              12.0
            797             543              13.5
            797             544              15.0
            797             546              17.1
            797             547              25.2
            770             547              88.0
            766             547              98.1
            757             547             103.8
            745             547             112.6
            743             547             126.4
            743             558             133.8
            743             560             237.9
            743             561             275.6
            743             562             383.2
            743             563             385.8
            743             564             388.8
            743             565             396.0
            743             566             552.7
            710             566             665.3
            710             568             668.2
            705             568             744.4
            705             572             830.0
            705             573             873.0
            705             575             878.8
            705             576             981.2
            705             577            1014.9
            705             578            1057.6
            705             579            1160.1
            680             579            1239.0
            680             580            1263.2
            680             581            1298.3
            680             583            1406.7
            680             584            1509.6
            680             585            1640.6
            680             586            1773.3
            680             587            1857.4
            680             588            2016.2
            680             589            2253.1
            680             590            2331.5
            677             590            2407.7
            677             591            2627.6
            677             592            2766.7
            675             592            2796.0
            675             593            2938.3
            675             594            3194.5
            675             595            3241.8
            675             596            3353.8
            671             596            3540.4
            671             597            3566.7

../solutions/ILP1/R08_10_05_02         596.636             597             671             649              11         0.11028        3600.006               0

