             UB              LB           Time(s)
           1140             622             271.6
           1140             668             590.3
           1140             669             685.9
           1140             670             757.5
           1140             692            1219.1
           1140             694            1356.6
           1140             704            1849.3
           1140             705            2016.4
           1140             706            2091.7
           1140             712            2661.6
           1140             713            2831.3
           1140             715            3130.1
           1140             716            3372.6

../solutions/ILP1/R06_20_04_05         715.856             716            1140            1140               0         0.37193        3600.230               0

