             UB              LB           Time(s)
            495              -9               0.1
            495             377               0.1
            495             396               0.1
            495             407               0.2
            495             408               0.2
            495             416               0.3
            495             420               0.4
            446             420               0.4
            446             421               0.4
            430             421               0.5
            430             430               0.5

../solutions/ILP1/R07_06_04_00         430.000             430             430             430              26         0.00000           0.535               1

