             UB              LB           Time(s)
           1048             603              45.9
           1048             631             155.0
           1048             636             219.9
           1048             637             242.4
           1048             660             421.5
           1048             666             731.5
           1048             668             877.6
           1048             669             937.3
           1048             673            1351.3
           1048             674            1458.1
           1048             675            1524.3
           1048             676            1679.7
           1048             677            1866.1
           1048             678            2022.4
           1048             682            2939.6

../solutions/ILP1/R08_15_15_05         681.221             682            1048            1048               0         0.34924        3600.063               0

