             UB              LB           Time(s)
            797             500               1.2
            797             515               3.3
            797             522               5.6
            797             523               6.1
            797             540              10.1
            797             541              10.8
            797             548              14.0
            797             549              15.9
            797             550              16.6
            797             551              17.5
            797             552              19.4
            797             553              21.9
            797             554              43.9
            797             555              46.1
            797             556              50.0
            797             557              55.0
            797             558             157.8
            789             558             225.0
            789             559             248.7
            762             559             307.6
            747             559             319.0
            747             563             324.7
            742             563             383.3
            742             564             452.5
            742             565             458.5
            742             567             465.3
            742             569             469.7
            742             571             634.3
            742             573             771.5
            707             573             794.1
            697             573             827.3
            697             574             836.5
            697             575             914.8
            697             577             969.1
            697             579            1018.1
            697             580            1140.5
            697             581            1207.8
            697             582            1368.9
            692             582            1466.5
            692             583            1490.1
            683             583            1575.9
            683             584            1727.3
            683             585            1904.3
            683             586            2042.5
            683             587            2121.9
            683             588            2328.3
            683             589            2562.7
            683             590            2649.2
            683             591            2739.5
            683             592            2861.7
            683             593            2930.2
            683             594            3159.3
            683             595            3382.5
            683             596            3481.0

../solutions/ILP1/R08_10_05_05         595.594             596             683             623              12         0.12738        3600.007               0

