             UB              LB           Time(s)
            568             416               0.1
            568             428               0.3
            568             429               0.3
            568             433               0.4
            568             438               0.5
            568             440               0.7
            568             441               0.8
            568             442               1.1
            568             445               1.1
            568             446               1.2
            562             446               1.6
            562             473               1.7
            562             474               2.5
            562             478               2.6
            557             478               2.8
            537             478               2.8
            537             479               3.0
            537             481               3.1
            537             482               3.2
            537             483               3.2
            537             484               3.5
            537             485               3.7
            537             486               4.0
            537             487               4.5
            537             488               4.7
            518             488               4.8
            518             490               4.8
            518             491               5.0
            518             492               5.1
            518             493               5.2
            518             494               5.2
            518             496               5.3
            518             497               5.4
            518             498               5.4
            518             499               5.5
            518             500               5.5
            518             501               5.5
            518             502               5.6
            518             503               5.7
            518             504               5.7
            518             505               5.7
            518             507               5.7
            518             509               5.7
            518             510               5.7
            518             511               5.8
            518             512               5.9
            518             513               5.9
            518             514               5.9
            518             515               5.9
            518             516               5.9
            518             517               5.9
            518             518               5.9

../solutions/ILP1/R08_06_02_20         518.000             518             518             478               2         0.00000           5.947               1

