             UB              LB           Time(s)
            622               6               0.3
            622             364               0.5
            622             387               1.0
            622             389               1.1
            622             398               1.4
            622             400               1.5
            622             413               2.1
            622             417               2.7
            622             419               2.9
            622             420               3.3
            622             421               3.7
            622             422               5.6
            622             423               6.1
            622             425               6.8
            622             426               7.0
            622             427               7.6
            622             428               7.8
            622             429               8.1
            622             430               9.0
            622             431               9.2
            622             436               9.3
            622             437               9.4
            622             438               9.5
            622             439               9.7
            622             440               9.8
            622             441               9.9
            622             442              10.0
            622             443              12.4
            622             444              14.7
            622             445              15.6
            621             445              16.4
            620             445              16.7
            574             445              17.4
            574             446              18.6
            574             449              18.7
            574             452              18.7
            572             452              25.6
            552             452              38.2
            526             453              41.1
            525             453              41.8
            525             454              42.5
            525             455              42.6
            525             457              45.4
            525             458              45.9
            525             462              46.2
            525             463              46.7
            525             464              47.7
            525             465              49.2
            525             466              49.4
            525             467              49.7
            525             468              51.7
            525             469              52.1
            525             470              52.5
            525             471              53.8
            525             472              54.9
            525             473              55.3
            525             474              56.4
            525             475              57.3
            525             476              58.4
            525             477              61.4
            525             478              63.0
            525             479              66.1
            525             480              66.8
            525             481              69.3
            525             482              71.4
            523             482              72.1
            523             483              73.9
            523             484              75.8
            523             485              76.4
            523             486              78.3
            523             487              79.8
            523             488              81.4
            523             489              83.9
            523             490              84.6
            523             491              86.7
            523             492              87.8
            523             493              89.3
            523             494              91.3
            523             495              92.5
            523             496              93.7
            523             497              95.9
            523             498              97.2
            523             499              97.9
            523             500              98.7
            523             501              99.9
            523             502             100.7
            523             503             102.2
            523             504             102.6
            523             505             102.8
            523             506             103.9
            523             507             104.3
            523             508             105.2
            523             509             105.9
            523             510             106.5
            523             511             106.8
            523             512             107.1
            523             513             107.3
            523             514             107.7
            523             515             108.0
            523             516             108.0
            523             517             108.3
            523             518             108.3
            523             519             108.4
            523             520             108.4
            523             521             108.5
            523             522             108.5
            523             523             108.5

../solutions/ILP1/R05_10_05_00         523.000             523             523             523              62         0.00000         108.517               1

