             UB              LB           Time(s)
            650             415               0.7
            650             423               1.7
            650             425               2.2
            650             431               3.1
            650             436               3.9
            650             437               4.0
            650             439               4.3
            650             441               4.6
            650             442               5.2
            650             443               6.1
            650             444               9.1
            650             445              10.5
            650             446              11.4
            650             447              11.5
            650             448              12.9
            650             450              14.0
            650             451              14.5
            650             452              15.0
            650             453              15.6
            650             455              16.8
            650             457              17.5
            650             460              17.9
            650             461              18.3
            650             465              26.7
            650             467              36.8
            650             468              40.0
            650             469              50.0
            650             476              54.2
            639             476              56.6
            632             476              83.8
            632             477             126.0
            631             477             127.7
            631             478             128.2
            604             478             129.5
            604             481             130.4
            604             482             137.6
            604             483             146.7
            604             484             155.0
            604             485             156.9
            604             486             162.3
            604             487             164.9
            604             488             166.7
            604             489             171.2
            604             490             173.7
            604             492             175.7
            604             493             181.8
            604             494             190.3
            604             495             196.8
            604             496             208.9
            604             497             213.1
            604             498             229.8
            604             499             234.7
            604             500             239.1
            604             501             246.0
            604             502             254.2
            604             503             259.8
            604             504             265.9
            604             505             267.7
            604             506             269.1
            604             507             280.4
            604             508             284.7
            604             509             294.6
            604             510             308.6
            604             511             312.0
            604             512             316.3
            604             513             332.9
            604             514             344.0
            604             515             354.9
            603             515             359.5
            603             516             366.0
            603             517             372.1
            596             517             387.5
            596             518             396.0
            596             519             409.9
            596             520             429.2
            596             521             438.9
            596             522             457.3
            596             523             466.6
            596             524             472.6
            596             525             485.5
            596             526             499.0
            596             527             513.4
            596             528             522.5
            596             529             540.3
            596             530             554.6
            596             531             565.8
            596             532             576.8
            596             533             590.3
            596             534             613.4
            596             535             624.3
            596             536             642.7
            596             537             658.1
            596             538             668.3
            596             539             690.0
            596             540             837.3
            596             541             850.8
            596             542             859.7
            596             543             870.1
            596             544             880.4
            596             545             890.1
            596             546             898.9
            596             547             911.0
            596             548             927.4
            596             549             937.8
            596             550             947.1
            596             551             962.2
            596             552             969.7
            596             553             979.5
            596             554             988.6
            596             555             996.4
            596             556            1005.9
            596             557            1012.0
            596             558            1019.3
            596             559            1025.6
            596             560            1031.6
            596             561            1035.5
            596             562            1043.1
            596             563            1047.5
            596             564            1052.7
            596             565            1058.2
            596             566            1065.3
            596             567            1070.1
            596             568            1075.8
            596             569            1080.8
            596             570            1084.6
            596             571            1089.2
            596             572            1093.0
            596             573            1097.1
            596             574            1101.4
            596             575            1104.4
            596             576            1107.4
            596             577            1110.1
            596             578            1112.3
            596             579            1113.9
            596             580            1116.3
            596             581            1118.7
            596             582            1119.9
            596             583            1121.3
            596             584            1122.4
            596             585            1123.8
            596             586            1124.6
            596             587            1125.7
            596             588            1126.0
            596             589            1126.4
            596             590            1126.6
            596             591            1126.9
            596             592            1127.1
            596             593            1127.3
            596             594            1127.5
            596             595            1127.7
            596             596            1127.7

../solutions/ILP1/R07_10_01_10         596.000             596             596             556               4         0.00000        1127.727               1

