             UB              LB           Time(s)
            557             368               0.2
            557             389               0.6
            557             390               0.7
            557             397               0.9
            557             398               0.9
            557             405               1.3
            557             406               1.3
            557             410               1.7
            557             411               1.8
            557             412               1.9
            557             413               2.3
            557             415               3.9
            557             416               4.2
            557             417               4.4
            557             418               4.8
            557             419               5.2
            557             420               5.4
            557             421               5.5
            548             421               5.6
            548             428               5.7
            548             429               5.7
            517             429               6.8
            512             429               8.8
            512             430               9.9
            512             431              10.2
            490             431              10.3
            490             432              11.0
            475             432              11.4
            475             433              12.1
            475             434              12.6
            471             434              12.6
            471             436              12.9
            471             437              13.2
            471             438              13.2
            471             439              13.8
            471             440              14.5
            471             441              14.6
            471             442              14.9
            471             443              15.6
            471             446              16.1
            471             447              16.1
            471             448              16.6
            471             449              17.0
            471             450              17.0
            471             452              17.1
            471             453              17.3
            471             454              17.4
            471             455              17.7
            471             456              18.0
            471             457              18.1
            471             458              18.2
            471             459              18.2
            471             460              18.6
            471             461              18.7
            471             462              18.9
            471             463              19.1
            471             464              19.2
            471             465              19.3
            471             466              19.4
            471             467              19.4
            471             468              19.5
            471             469              19.5
            471             470              19.5
            471             471              19.5

../solutions/ILP1/R07_08_01_01         471.000             471             471             461              10         0.00000          19.509               1

