        UB            Time(s)
exec #1
       751                 0.0
       743                 3.8
       740                 4.5
       739                 5.2
       737                 6.2
       734                 6.4
       733                11.5
       730                12.8
       729               495.2
       726               503.1
       718               503.2
       714               503.5
       713               503.9
exec #2
       751                 0.0
       749                 5.3
       740                 5.6
       739                 6.1
       736                 7.2
       735                 7.9
       732                 8.1
       731                 8.3
       729                 8.5
       725                 9.4
       723                14.6
       722                20.3
       719                23.6
       718                25.3
       717                30.6
       715                58.5
exec #3
       751                 0.0
       739                 4.3
       733                 5.0
       731                 7.5
       729                 8.1
       727                 9.4
       726                11.2
       725                11.3
       723                11.5
       721                12.7
       719                13.3
       718                14.7
       717                16.9
       715                25.2
exec #4
       751                 0.0
       741                 3.1
       731                 5.2
       729                 8.8
       728                 9.1
       726                 9.3
       721               112.3
       717               116.9
       715               120.3
exec #5
       751                 0.0
       750                 4.1
       746                 5.0
       740                 5.2
       736                 5.3
       735                 5.9
       729                 6.2
       728                 7.3
       727                 8.1
       726                 9.9
       725                10.3
       721                10.6
       719                11.9
       718                14.3
       717                15.6
       715                18.5
exec #6
       751                 0.0
       744                 4.2
       739                 4.8
       736                 5.0
       734                 5.7
       728                 7.0
       726                11.4
       721                26.1
       720                32.5
       717                32.6
       715                35.9
exec #7
       751                 0.0
       750                 4.7
       733                 5.4
       731                 6.9
       729                 7.4
       728                 7.9
       722                 8.8
       718                11.0
       717                15.4
       715                19.4
exec #8
       751                 0.0
       738                 4.9
       737                 5.7
       731                 6.8
       728                 7.0
       726                 8.2
       721                81.5
       719                85.2
       717                88.4
       715                96.5
exec #9
       751                 0.0
       750                 2.4
       749                 2.9
       738                 3.6
       735                 5.6
       731                 6.1
       729                 7.4
       721                11.4
       717                13.2
       715                16.2
exec #10
       751                 0.0
       750                 3.2
       740                 3.5
       738                 4.0
       737                 4.9
       733                 5.0
       732                 5.3
       731                 5.7
       730                 5.9
       729                 6.3
       728                 7.1
       726                 7.6
       725                 8.7
       721                 8.9
       717                11.2
       715                14.6

solutions/BRKGA/R09_12_01_01             713             715             715             715             715             715             715             715             715             715       36002.786
