        UB            Time(s)
exec #1
       872                 0.0
       845                39.4
       843                40.3
       832                43.0
       829                45.4
       818                46.9
       815                47.4
       808                48.6
       805                50.4
exec #2
       872                 0.0
       864                18.4
       855                24.1
       839                24.7
       829                28.2
       828                28.7
       813                29.9
       808                31.1
       805                76.3
       800              3473.5
exec #3
       872                 0.0
       871                20.6
       863                20.9
       850                21.4
       840                22.3
       839                22.9
       834                23.2
       825                24.1
       821                26.0
       816                26.9
       815                28.6
       807                29.2
       802                30.3
       797                32.0
exec #4
       872                 0.0
       866                17.8
       860                24.1
       859                28.4
       852                29.0
       842                30.1
       824                31.8
       818                33.2
       814                36.3
       799                36.6
       791                39.4
       789                39.7
       784                41.6
exec #5
       872                 0.0
       867                24.0
       853                25.2
       850                29.6
       848                29.9
       845                30.2
       844                30.5
       839                31.3
       829                32.5
       826                35.3
       823                36.2
       813                37.5
       811                46.3
       808                46.9
       803                50.5
       801                55.9
       798                56.4
exec #6
       872                 0.0
       846                27.6
       823                29.9
       816                37.0
       801                37.8
       796                40.3
       793                41.4
       791                42.6
       786                43.5
       784                52.0
exec #7
       872                 0.0
       871                28.6
       827                31.4
       819                39.5
       809                50.9
       804                70.4
       799                76.4
       794              1493.9
       789              1497.0
       784              1527.3
exec #8
       872                 0.0
       852                20.8
       850                25.1
       833                26.5
       820                27.4
       815                32.3
       805                32.8
       802                37.4
       797                42.7
exec #9
       872                 0.0
       871                28.6
       868                32.2
       847                32.5
       844                34.8
       825                37.2
       812                39.5
       807                41.0
       805                49.2
       797                59.0
exec #10
       872                 0.0
       866                25.6
       859                30.8
       851                32.0
       841                32.6
       828                34.9
       823                37.5
       813                38.6
       805                38.9
       803                41.8
       798                45.5

solutions/BRKGA/R06_10_03_05             805             800             797             784             798             784             784             797             797             798       36004.693
