        UB            Time(s)
exec #1
       801                 0.0
       750                 0.0
       749                 0.3
       746                 0.5
       724                 0.6
       714                 0.9
exec #2
       801                 0.0
       790                 0.0
       775                 0.1
       740                 0.1
       739                 0.4
       724                 0.6
       715                 0.7
       714                 0.8
exec #3
       800                 0.0
       786                 0.0
       750                 0.1
       730                 0.4
       720                 0.6
       716                 0.7
       714                 0.8
exec #4
       793                 0.0
       769                 0.0
       768                 0.1
       749                 0.2
       727                 0.3
       716                 0.7
       714                 0.8
exec #5
       801                 0.0
       757                 0.0
       725                 0.1
       724                 0.2
       714                 0.4
exec #6
       794                 0.0
       761                 0.0
       754                 0.1
       732                 0.3
       724                 0.6
       716                 0.7
       714                 1.1
exec #7
       801                 0.0
       769                 0.0
       715                 0.2
       714                 0.6
exec #8
       801                 0.0
       794                 0.0
       767                 0.1
       757                 0.2
       744                 0.3
       742                 0.4
       723                 0.5
       714                 0.7
exec #9
       780                 0.0
       747                 0.0
       733                 0.3
       730                 0.4
       726                 0.7
       723                 0.8
       716                 1.0
       714                 1.1
exec #10
       783                 0.0
       760                 0.1
       749                 0.2
       746                 0.3
       745                 0.6
       724                 0.7
       714                 0.8

solutions/BRKGA/R06_08_01_05             714             714             714             714             714             714             714             714             714             714       36001.408
