        UB            Time(s)
exec #1
      1167                 0.0
      1165                90.7
      1161                94.2
      1155                95.9
      1151                99.4
      1143               104.1
      1139               109.3
      1135               121.2
      1128               370.4
      1124               380.9
      1110               398.1
      1105               404.6
      1103               506.8
      1095              1152.1
exec #2
      1167                 0.0
      1162               100.1
      1151               101.7
      1149               113.9
      1137               174.9
      1133               181.7
      1126               185.8
      1118              1800.1
exec #3
      1167                 0.0
      1166                95.1
      1161                96.8
      1157                98.5
      1151               100.1
      1146               110.2
      1139               111.8
      1135               130.3
      1110               155.4
      1095               167.2
      1085              1928.2
      1081              2217.0
exec #4
      1167                 0.0
      1151                81.4
      1139               223.3
      1125               238.4
      1121               243.6
      1119              2676.3
      1097              2804.0
      1093              2807.3
exec #5
      1167                 0.0
      1161               102.3
      1151               103.8
      1149               110.3
      1145               112.0
      1143               115.2
      1139               118.6
      1135               128.7
      1133               142.2
      1126               150.3
      1122               151.9
      1104               153.7
      1102               161.8
      1093               510.4
      1090               684.6
      1085               700.0
exec #6
      1167                 0.0
      1155                96.7
      1151               100.2
      1148               181.0
      1143               185.7
      1139               190.5
      1130               220.0
      1121               230.1
      1098              2533.5
      1097              2875.9
      1093              2879.4
      1088              2900.3
exec #7
      1167                 0.0
      1151                91.6
      1150               105.2
      1139               140.3
      1135               160.8
      1095               181.4
      1093              2015.7
      1092              3296.9
exec #8
      1167                 0.0
      1161                96.8
      1157               101.9
      1155               103.6
      1151               106.8
      1149               111.6
      1139               116.6
      1135               119.7
      1133               140.2
      1125               574.4
      1115              2958.4
      1110              3001.8
exec #9
      1167                 0.0
      1151               100.2
      1145               103.7
      1141               107.2
      1137               119.5
      1127               252.9
      1125               270.1
      1123               339.6
      1085               363.7
      1081               366.7
exec #10
      1167                 0.0
      1155               101.4
      1151               104.8
      1143               118.6
      1139               125.1
      1135               141.5
      1124               882.1
      1106               915.0
      1100              1081.9
      1099              1291.2
      1097              1445.6
      1095              2741.7
      1087              2754.4
      1084              2769.8
      1083              2787.3

solutions/BRKGA/R07_20_04_05            1095            1118            1081            1093            1085            1088            1092            1110            1081            1083       36027.061
