        UB            Time(s)
exec #1
       590                 0.0
       577                 0.0
       555                 1.5
       549                 3.1
       546                 8.8
       544                15.9
       543                18.3
       542                20.4
       540                75.8
       538               139.7
       533               190.3
       532               499.5
       530               527.8
       529               545.6
       527               546.6
       526               556.6
       525               561.1
       523               566.1
       522              1231.0
       521              1236.2
       519              1237.7
       518              1735.9
       517              2587.2
       516              3320.9
       515              3330.3
exec #2
       590                 0.0
       575                 1.8
       572                 2.1
       568                 3.6
       544                 5.7
       540                27.8
       537                75.3
       536               232.7
       532               285.5
       530               320.6
       529               621.4
       528               823.4
       527               890.7
       526               957.1
       523              1024.2
       521              1051.8
       520              1058.3
       519              1062.8
       518              1072.4
       517              1074.5
       515              1096.1
       514              1126.8
       512              1408.5
       511              1422.5
       510              1587.9
exec #3
       590                 0.0
       582                 1.2
       571                 3.0
       567                 3.3
       554                 4.8
       544                 7.1
       543                24.7
       541                30.5
       539                39.1
       537                56.6
       536                94.9
       533               205.7
       532               256.9
       531               304.0
       529               357.2
       527               867.4
       526               879.5
       525               881.8
       524               885.2
       523               890.7
       522               893.1
       521               901.1
       520               904.4
       519               905.2
       517              1056.1
       516              1068.6
       515              1076.7
       514              1080.9
exec #4
       590                 0.0
       568                 0.3
       558                 2.4
       547                 6.1
       540                18.8
       539                60.2
       538               101.4
       537               136.9
       535               150.8
       534               177.1
       532               305.8
       531               465.9
       530               578.4
       529               618.9
       526               845.2
       525              1006.5
       524              1009.9
       523              1012.5
       522              1030.0
       521              1032.4
       519              1035.2
       518              1038.7
       517              1043.7
       516              1056.6
       515              1099.4
       514              1116.0
       513              2174.0
       512              2182.8
       511              2186.6
       510              2203.1
       509              2240.1
       508              2247.3
exec #5
       590                 0.0
       571                 2.1
       561                 2.4
       554                 6.7
       547                 8.3
       544                10.9
       543                22.0
       540                23.8
       537                49.4
       536                67.8
       535                83.6
       533               129.5
       532               192.4
       531               198.2
       528               406.4
       526               635.8
       524               953.2
       523               978.7
       522               978.9
       521               982.9
       520               984.1
       519               990.0
       518              1004.4
       517              1009.0
       516              1020.5
       515              1032.4
       514              1035.8
       513              1037.7
       512              1040.5
       510              1044.2
exec #6
       590                 0.0
       584                 1.2
       574                 2.0
       566                 6.0
       550                 8.5
       544                11.8
       543                19.9
       542                29.9
       540               103.6
       538               126.7
       537               233.3
       535               338.3
       532               849.3
       531               963.6
       530               964.4
       529               965.4
       528               966.9
       527               968.2
       526               970.4
       525               973.5
       522               974.0
       521              1067.3
       520              1089.4
       519              1592.4
       517              1747.1
       516              1747.6
       515              1842.6
       514              1844.4
exec #7
       590                 0.0
       576                 1.3
       568                 3.2
       546                 4.2
       545                18.1
       544                28.1
       539                33.1
       538                42.8
       535                46.8
       534                89.1
       533               304.4
       532               501.1
       528               599.9
       526               926.5
       525              1027.1
       524              1121.0
       523              1156.5
       520              1182.6
       518              1225.4
       517              1268.6
       516              1270.4
       515              1289.4
       514              1293.5
       513              1296.3
       512              1297.6
exec #8
       590                 0.0
       584                 0.7
       578                 1.2
       562                 4.6
       551                 5.1
       549                 9.0
       543                10.0
       540                18.1
       539                31.2
       538                57.6
       537                81.5
       536               155.4
       534               178.1
       532               193.6
       531               448.3
       530               495.8
       529               566.0
       528               692.0
       527               705.8
       526               711.6
       525               747.1
       524               812.0
       523               818.1
       522               834.1
       521               846.3
       520               863.8
       519               882.0
       518               886.8
       517               895.0
       515               897.9
       513               903.4
       512              1129.5
       511              1498.2
exec #9
       590                 0.0
       574                 1.2
       549                 2.3
       547                 4.6
       546                15.8
       541                18.1
       540                30.8
       539                60.2
       538                87.0
       537               108.9
       536               146.3
       533               162.9
       531               221.9
       530               300.9
       529               572.3
       526               724.2
       525               839.1
       524              1008.8
       521              1046.3
       518              1107.3
       517              1148.1
       516              1151.2
       515              1151.5
       514              1153.9
       513              1154.7
       512              1178.5
       510              2199.7
       509              2203.4
exec #10
       590                 0.0
       563                 1.0
       558                 7.8
       550                 8.3
       543                16.8
       540                59.5
       538                71.4
       536                97.0
       535               415.6
       533               448.8
       532               741.0
       530               923.6
       529               953.7
       528               956.2
       527               957.4
       526               988.9
       525               996.3
       524               997.8
       522               998.5
       521              1008.7
       520              1012.6
       518              1013.6
       517              1019.4
       516              1108.8
       515              1114.3
       514              1117.9
       513              2024.0
       512              2619.1

solutions/BRKGA/R05_08_05_01             515             510             514             508             510             514             512             511             509             512       36004.222
