        UB            Time(s)
exec #1
       801                 0.0
       790                 5.5
       770                 6.0
       761                 6.1
exec #2
       801                 0.0
       798                 5.6
       787                 5.8
       770                 5.9
       767                 6.3
exec #3
       801                 0.0
       786                 4.6
       782                 5.0
       767                 5.7
exec #4
       801                 0.0
       790                 4.9
       767                 5.3
       761                 7.1
exec #5
       801                 0.0
       767                 4.4
       766                 6.6
       761               494.0
exec #6
       801                 0.0
       796                 5.8
       788                 6.2
       766                 6.3
       765                 7.9
       761                 9.0
exec #7
       801                 0.0
       761                 5.0
exec #8
       801                 0.0
       782                 5.1
       776                 5.5
       770                 6.2
       767                 6.6
       761                 7.1
exec #9
       801                 0.0
       783                 5.6
       782                 5.9
       767                 7.7
       765                10.8
       761                11.4
exec #10
       801                 0.0
       783                 5.0
       779                 5.4
       767                 5.6

solutions/BRKGA/R06_08_03_20             761             767             767             761             761             761             761             761             761             767       36002.872
