        UB            Time(s)
exec #1
       916                 0.0
       888               105.9
       884               134.0
       865               166.7
       850               381.0
       847               583.7
       813               626.8
exec #2
       916                 0.0
       859               102.1
       854               279.7
       844               382.9
       835               576.8
       825              1000.7
       785              2193.6
exec #3
       916                 0.0
       882                42.7
       846               267.2
       841               625.8
       834               643.2
       831               693.1
       812               727.6
exec #4
       916                 0.0
       874               119.1
       873               710.6
       871               794.4
       845               834.9
       836              1452.6
       831              2646.2
exec #5
       916                 0.0
       910                77.9
       876                94.5
       871               152.7
       860               520.8
       856               541.1
       837               701.1
       833              1936.6
       828              2588.5
       821              2653.5
exec #6
       916                 0.0
       914                55.9
       867                69.2
       864               193.8
       847               335.8
       838               846.3
       830              1326.1
       829              2128.3
       811              2411.1
       806              3030.8
exec #7
       916                 0.0
       909                50.5
       897                65.8
       887                69.8
       878                82.6
       873               126.3
       870               192.5
       852               203.4
       850               370.2
       822               387.1
       810              1177.2
       802              1409.8
       794              1454.2
       790              2571.2
       782              3226.4
exec #8
       916                 0.0
       913                81.0
       890                93.2
       877               136.7
       871               262.4
       870               457.8
       865               491.0
       852               790.5
       826               850.7
exec #9
       916                 0.0
       906                85.8
       900               124.6
       895               127.8
       893               196.6
       892               198.7
       868               232.5
       860               363.9
       856               505.1
       803               606.0
       802              2855.8
exec #10
       916                 0.0
       907                86.1
       901               121.7
       884               141.3
       870               207.9
       803               234.0

solutions/BRKGA/R07_15_05_01             813             785             812             831             821             806             782             826             802             803       36018.030
