        UB            Time(s)
exec #1
       916                 0.0
       905                16.8
exec #2
       916                 0.0
       902                36.1
       889                38.7
       887                39.2
exec #3
       916                 0.0
       912                43.3
       908                57.8
       902                66.7
exec #4
       916                 0.0
       915                15.9
       905                16.4
exec #5
       916                 0.0
       915                13.9
       905                17.1
exec #6
       916                 0.0
       915                17.1
       905                17.5
exec #7
       916                 0.0
       905                14.6
exec #8
       916                 0.0
       915                15.1
       905                16.5
exec #9
       916                 0.0
       905                16.9
exec #10
       916                 0.0
       908                50.1
       900               112.8

solutions/BRKGA/R07_15_02_10             905             887             902             905             905             905             905             905             905             900       36008.367
