        UB            Time(s)
exec #1
       493                 0.0
       468                 0.0
       466                 0.1
       462                 0.5
exec #2
       479                 0.0
       476                 0.0
       466                 0.2
       462                 0.2
exec #3
       479                 0.0
       473                 0.0
       468                 0.2
       466                 0.2
       462                 0.4
exec #4
       500                 0.0
       474                 0.0
       462                 0.2
exec #5
       500                 0.0
       473                 0.0
       466                 0.1
       462                 0.2
exec #6
       489                 0.0
       483                 0.0
       476                 0.1
       475                 0.2
       466                 0.3
       462                 0.4
exec #7
       479                 0.0
       478                 0.0
       477                 0.1
       466                 0.2
       462                 0.3
exec #8
       476                 0.0
       466                 0.1
       462                 0.2
exec #9
       489                 0.0
       474                 0.0
       462                 0.1
exec #10
       476                 0.0
       462                 0.2

solutions/BRKGA/R08_06_02_00             462             462             462             462             462             462             462             462             462             462       36001.324
