        UB            Time(s)
exec #1
       872                 0.0
       823                 0.4
       802                 1.0
       797                 1.3
       794                 3.2
       768                 5.8
       767                11.7
       766              2502.6
       765              2503.6
exec #2
       872                 0.0
       869                 0.4
       862                 0.8
       840                 0.9
       831                 1.1
       825                 1.2
       823                 1.6
       811                 1.9
       796                 2.2
       794                 2.7
       792                 3.0
       791                 8.6
       789                13.7
       788                14.0
       786                34.1
       785                36.0
       776                40.9
       767                42.1
       765              1715.7
exec #3
       872                 0.0
       859                 0.3
       854                 0.6
       838                 0.7
       836                 1.0
       833                 1.4
       802                 2.0
       799                 2.1
       797                 3.3
       765                 4.0
exec #4
       872                 0.0
       856                 0.4
       845                 0.7
       833                 1.0
       832                 1.7
       825                 1.8
       820                 2.1
       819                 2.2
       818                 2.3
       805                 2.5
       803                 4.1
       802                 4.8
       801                 5.5
       797                 8.1
       790                10.6
       772                11.2
       770                11.3
       768                11.4
       767                12.7
exec #5
       872                 0.0
       865                 0.3
       847                 0.5
       844                 0.9
       821                 1.1
       819                 1.4
       807                 1.9
       804                 4.3
       801                 5.3
       779                 6.9
       773                10.3
       771                14.6
       770                15.5
       768                15.9
       767                16.1
       765               156.9
exec #6
       872                 0.0
       863                 0.5
       827                 0.7
       825                 1.2
       812                 1.3
       791                 1.6
       768                 2.2
       767                 6.1
exec #7
       872                 0.0
       846                 0.5
       786                 1.1
       773                 4.8
       772                 5.2
       771                 5.3
       770                 5.6
       768                 6.4
       767                 6.6
       766              1183.7
       765              1187.4
exec #8
       872                 0.0
       829                 0.6
       822                 2.1
       816                 2.3
       811                 2.4
       803                 2.8
       800                 3.7
       798                 4.5
       796                 5.3
       795                 7.0
       774                 7.2
       771                 7.7
       770                 8.5
       768                 8.8
       767                16.9
exec #9
       872                 0.0
       870                 0.5
       840                 0.7
       839                 0.9
       832                 1.2
       804                 1.3
       792                 3.0
       791                90.9
       790                92.3
       788                93.6
       786                95.2
       785                97.1
       767               705.0
exec #10
       872                 0.0
       862                 0.1
       847                 0.5
       844                 1.1
       830                 1.5
       827                 1.8
       819                 1.9
       814                 2.6
       806                 2.7
       804                 9.3
       795                10.9
       767                13.5

solutions/BRKGA/R06_10_01_02             765             765             765             767             765             767             765             767             767             767       36002.282
