        UB            Time(s)
exec #1
       722                 0.0
       719              1036.5
       703              1159.4
exec #2
       722                 0.0
       720              1029.4
       717              1445.7
       715              1778.0
       712              2107.9
       708              3376.1
exec #3
       722                 0.0
       721              2169.2
       718              2450.7
       713              2488.9
exec #4
       722                 0.0
       717               349.2
       711              3540.7
exec #5
       722                 0.0
       714                60.1
       691                67.2
       681                73.6
       653                74.3
       647                80.1
       629                81.8
       627                97.5
       623                98.8
       621               106.7
       619               114.6
       617               127.0
       613               134.2
       608               138.9
       597               139.5
       593               142.2
       591               144.2
       589               149.4
exec #6
       722                 0.0
       712              2566.2
exec #7
       722                 0.0
       721              1268.0
       716              1460.8
       715              1598.0
       707              2218.1
       704              2486.1
       698              3316.1
exec #8
       722                 0.0
       720               264.2
       719               563.9
       708               877.4
       702              1056.0
       687              1388.8
       684              2161.0
       681              2929.5
exec #9
       722                 0.0
       708              1347.2
       705              1435.1
       704              2892.8
       696              2961.2
       691              3414.5
exec #10
       722                 0.0
       718              1166.1
       711              1476.7
       704              2453.1

solutions/BRKGA/R05_12_05_02             703             708             713             711             589             712             698             681             691             704       36010.721
