        UB            Time(s)
exec #1
       689                 0.0
       680                 3.6
exec #2
       689                 0.0
       688                 3.9
       680                 5.2
exec #3
       689                 0.0
       680                 3.8
exec #4
       689                 0.0
       688                 3.5
       680                 4.3
exec #5
       689                 0.0
       688                 3.8
       680                 4.4
exec #6
       689                 0.0
       680                 4.1
exec #7
       689                 0.0
       680                 3.1
exec #8
       689                 0.0
       680                 3.0
exec #9
       689                 0.0
       680                 3.6
exec #10
       689                 0.0
       688                 3.5
       680                 3.8

solutions/BRKGA/R07_12_01_20             680             680             680             680             680             680             680             680             680             680       36002.303
