        UB            Time(s)
exec #1
       909                 0.0
       900                33.1
       894               859.3
       892              2826.6
exec #2
       909                 0.0
       902                32.2
       898                33.3
       893                43.1
       887              1538.2
       885              1612.3
exec #3
       909                 0.0
       902                37.8
       900                38.4
       898               396.6
       897              1538.9
       892              1545.5
exec #4
       909                 0.0
       900                34.9
       898               210.4
       897              1038.4
       892              1047.4
exec #5
       909                 0.0
       900                29.9
       894               135.3
exec #6
       909                 0.0
       902                46.4
       900                47.9
       898              1647.8
       892              2756.8
exec #7
       909                 0.0
       907                32.0
       900                33.2
       898                38.7
exec #8
       909                 0.0
       907                39.8
       900                41.1
       898              1357.6
exec #9
       909                 0.0
       905                35.6
       902                38.0
       900                38.6
       894              1941.5
exec #10
       909                 0.0
       902                31.1
       900                33.4
       894               504.3

solutions/BRKGA/R09_15_03_05             892             885             892             892             894             892             898             898             894             894       36009.814
