             UB              LB           Time(s)
            568             416               0.0
            518             416               0.0
            518             461               0.0
            497             461               0.1
            497             462               0.3
            492             462               0.3
            487             462               0.5
            487             463               0.9
            487             464               1.0
            487             465               1.0
            487             466               1.2
            486             466               1.4
            486             467               1.6
            486             468               1.9
            486             469               2.4
            482             469               2.6
            482             470               2.7
            482             471               3.0
            482             472               3.2
            482             473               3.3
            482             474               3.5
            482             475               3.6
            482             476               3.9
            482             477               4.0
            482             478               4.1
            482             479               4.2
            482             480               4.2
            482             481               4.2
            482             482               4.2

../solutions/ILP2/R08_06_06_05         482.000             482             482             462               4         0.00000           4.232               1

