             UB              LB           Time(s)
            571             413               0.1
            571             536               0.1
            571             537               0.1
            571             541               0.2
            571             542               0.2
            571             543               0.3
            571             544               0.7
            571             545               0.7
            571             546               0.8
            571             547               0.8
            571             548               1.2
            571             549               1.9
            571             550               3.0
            571             551               3.9
            571             552               9.0
            571             553               9.7
            571             554              10.2
            571             555              11.0
            571             556              11.7
            571             557              12.4
            571             558              13.1
            571             559              14.7
            571             560              15.8
            571             561              17.1
            571             562              17.9
            571             563              18.8
            571             564              19.3
            571             565              19.5
            571             566              19.6
            571             567              19.6
            571             568              19.7
            571             569              19.7
            571             570              19.7
            571             571              19.7

../solutions/ILP2/R09_08_05_10         571.000             571             571             571               0         0.00000          19.711               1

