             UB              LB           Time(s)
            571             413               0.0
            571             536               0.0
            571             537               0.1
            571             542               0.1
            571             543               0.1
            571             544               0.2
            571             546               0.3
            571             547               0.4
            561             547               0.4
            561             548               0.8
            559             548               1.6
            559             549               1.8
            559             550               2.5
            559             551               2.9
            559             552               3.1
            559             553               3.3
            559             554               3.3
            559             555               3.5
            559             556               3.6
            556             556               3.6

../solutions/ILP2/R09_08_01_00         556.000             556             556             556               5         0.00000           3.613               1

