             UB              LB           Time(s)
            495             386               0.0
            495             399               0.0
            495             403               0.0
            495             405               0.1
            495             407               0.2
            495             408               0.3
            495             409               0.5
            495             410               0.5
            495             411               0.6
            456             411               0.7
            456             412               0.7
            456             413               0.7
            456             414               0.7
            456             415               0.7
            456             416               0.7
            456             417               0.7
            456             418               0.8
            456             419               0.8
            456             420               0.8
            456             421               0.8
            456             422               0.9
            456             424               0.9
            456             425               1.0
            456             426               1.0
            456             427               1.0
            456             428               1.0
            456             430               1.0
            456             433               1.0
            456             435               1.0
            456             436               1.0
            456             437               1.1
            456             438               1.1
            456             439               1.1
            456             440               1.1
            456             441               1.1
            456             442               1.1
            456             443               1.1
            456             444               1.1
            456             445               1.1
            456             446               1.1
            456             447               1.1
            456             448               1.1
            456             449               1.1
            456             450               1.1
            456             451               1.1
            456             452               1.1
            456             453               1.1
            456             454               1.1
            456             456               1.1

../solutions/ILP2/R07_06_01_10         456.000             456             456             446               1         0.00000           1.141               1

