             UB              LB           Time(s)
            980             505               0.8
            980             641               0.9
            980             649               1.0
            980             656               1.2
            980             657               1.3
            980             658               2.7
            934             658              18.8
            934             659              22.5
            934             660              23.1
            934             661              23.3
            934             662              24.0
            934             663              30.1
            934             664              31.0
            934             665              31.3
            934             666              32.2
            934             668              32.6
            934             669              33.4
            934             670              34.3
            934             671              34.5
            934             672              35.8
            934             673              38.8
            934             674              40.6
            934             675              45.0
            934             676              46.7
            934             677              47.6
            934             678              49.8
            934             680              52.2
            934             682              53.0
            934             683              54.0
            934             684              55.4
            934             685              56.4
            934             687              57.9
            934             688              64.5
            934             689             124.3
            934             690             329.6
            934             691             500.3
            934             692             778.5
            934             693            1158.4
            931             693            2012.6
            931             694            2287.4
            931             695            2461.7
            931             696            2989.7
            927             696            3161.7
            927             697            3237.2

../solutions/ILP2/R05_15_05_10         696.519             697             927             907               2         0.24811        3600.006               0

