             UB              LB           Time(s)
            501             410               0.0
            501             430               0.1
            501             464               0.1
            501             466               0.1
            501             467               0.4
            501             468               1.0
            501             469               1.4
            501             470               1.5
            501             471               1.8
            501             472               1.9
            501             473               2.2
            501             474               2.5
            501             475               2.6
            501             476               2.8
            501             477               3.0
            501             478               3.1
            501             479               3.2
            501             480               3.7
            501             481               4.1
            501             482               4.4
            501             483               4.5
            501             484               4.8
            501             485               4.9
            501             486               5.3
            501             487               5.5
            501             488               5.6
            501             489               6.1
            501             490               6.1
            501             491               6.4
            501             492               6.7
            501             493               6.8
            501             494               6.8
            501             495               6.9
            501             496               6.9
            501             497               6.9
            501             498               6.9
            501             499               6.9
            501             500               6.9
            501             501               6.9

../solutions/ILP2/R05_06_04_10         501.000             501             501             501               0         0.00000           6.917               1

