             UB              LB           Time(s)
            590             375               0.1
            590             448               0.1
            590             449               0.3
            590             451               0.3
            559             451               0.9
            553             451               0.9
            553             452               1.1
            553             459               1.4
            531             459               1.7
            531             460               1.7
            531             461               1.9
            525             461               2.1
            524             461               3.7
            524             462               4.4
            524             463               4.6
            524             464               4.8
            524             466               4.9
            524             469               4.9
            524             471               5.3
            524             473               5.4
            524             475               5.5
            524             481               5.5
            524             483               6.1
            524             488               6.4
            524             491               6.7
            524             499               9.3
            524             500               9.9
            522             500              12.7
            522             501              12.8
            514             501              13.0
            514             502              20.5
            513             502              20.8
            512             502              27.9
            512             503              30.1
            512             504              44.8
            512             505              52.0
            512             506              61.0
            512             507              70.6
            512             508              87.4
            512             509              98.4
            512             510             106.2
            512             511             108.4
            512             512             108.8

../solutions/ILP2/R05_08_05_02         512.000             512             512             502               5         0.00000         108.758               1

