             UB              LB           Time(s)
            601             459               0.0
            601             530               0.1
            570             530               0.4
            570             531               0.5
            570             532               0.6
            570             533               0.8
            570             534               1.1
            570             535               1.5
            570             536               1.7
            570             537               1.9
            570             538               2.1
            570             539               2.7
            570             540               3.5
            570             541               3.8
            570             542               4.2
            570             543               4.7
            570             544               5.2
            570             545               5.5
            570             546               5.9
            570             547               6.7
            570             548               7.4
            570             549               8.0
            570             550               8.6
            570             551               9.2
            570             552               9.5
            568             552               9.6
            568             553               9.7
            568             554               9.9
            568             555              10.3
            568             556              10.4
            568             557              10.6
            568             558              10.7
            568             559              10.8
            568             560              10.9
            568             561              11.0
            568             562              11.1
            568             563              11.1
            568             564              11.1
            568             565              11.1
            568             566              11.1
            568             567              11.1
            568             568              11.2

../solutions/ILP2/R06_06_06_10         568.000             568             568             558               1         0.00000          11.153               1

