             UB              LB           Time(s)
            916             524               0.7
            916             611               0.8
            916             623               1.0
            916             626               1.1
            916             627               1.1
            916             634               1.2
            916             635              17.2
            916             636              17.9
            916             642              18.5
            916             643              18.6
            916             644              27.0
            916             645              34.7
            916             646              35.6
            916             647              39.9
            916             648              47.1
            916             649              48.0
            916             650              92.2
            916             651             320.0
            916             652             573.2
            916             653             760.9
            916             654            2137.5
            916             655            3081.6

../solutions/ILP2/R07_15_04_10         654.407             655             916             916               0         0.28493        3600.007               0

