             UB              LB           Time(s)
            622             366               0.1
            622             456               0.1
            622             463               0.2
            622             483               0.2
            622             484               0.3
            588             484               1.7
            584             484               1.7
            584             485               4.7
            546             485               6.4
            545             485               6.8
            545             488               7.2
            545             489               7.3
            545             491               7.4
            545             492               7.8
            545             493               8.1
            545             495               8.8
            545             496               8.9
            545             497               9.0
            545             499               9.7
            545             501               9.7
            545             502              10.2
            545             504              10.3
            545             506              10.4
            545             507              10.4
            545             508              11.2
            545             509              11.6
            545             510              11.9
            545             511              13.1
            545             512              13.6
            545             513              14.2
            545             514              14.4
            545             515              15.0
            545             516              15.9
            545             517              16.4
            545             518              16.5
            545             519              17.3
            545             520              17.3
            545             522              17.3
            545             523              18.0
            545             524              23.0
            544             524              39.2
            544             525              43.6
            544             526              76.2
            544             527             119.8
            544             528             170.3
            544             529             209.8
            544             530             246.5
            544             531             278.6
            544             532             300.1
            544             533             318.2
            544             534             338.2
            544             535             353.6
            544             536             366.2
            544             537             384.0
            544             538             397.3
            544             539             411.2
            544             540             424.6
            544             541             434.4
            544             542             439.2
            544             543             440.5
            544             544             440.9

../solutions/ILP2/R05_10_02_02         544.000             544             544             526               9         0.00000         440.850               1

