             UB              LB           Time(s)
            751             556               0.7
            751             617               0.8
            751             648               1.0
            751             656               1.2
            712             656               8.4
            712             657               8.6
            708             657               9.6
            707             657              13.1
            706             657              14.2
            703             657              14.4
            702             657              15.4
            697             657              16.8
            689             657              18.2
            688             657              32.1
            685             657              50.1
            683             657              52.7
            682             657             106.6
            681             657             131.9
            680             657             179.4
            679             657             194.8
            679             658             206.4
            678             658             244.9
            678             659             510.6
            678             660             605.7
            677             660             677.5
            677             661             754.6
            677             662             907.9
            677             663            1190.6
            677             664            1388.1
            677             665            1496.1
            677             666            1738.6
            677             667            2185.3
            677             668            2552.2
            677             669            3041.2

../solutions/ILP2/R09_12_12_01         668.886             669             677             667              10         0.01182        3600.008               0

