             UB              LB           Time(s)
            980             505               2.6
            980             642               2.8
            980             658               3.0
            980             659              23.3
            980             662              82.6
            980             663              83.8
            980             665              85.6
            980             666              85.8
            980             667              86.7
            980             668              88.8
            980             669              92.4
            980             670              92.8
            980             671              94.6
            980             672              96.8
            980             673             100.2
            980             675             101.3
            980             676             102.1
            980             677             106.4
            980             678             110.1
            980             679             114.3
            980             680             120.3
            980             681             123.3
            980             682             153.7
            980             683             156.0
            980             684             172.3
            980             685             202.8
            980             686             214.6
            980             687             271.0
            980             689             457.7
            972             689             744.6
            967             689             801.4
            967             690             874.1
            932             690            1105.7
            893             690            1162.2
            874             690            1214.7
            864             690            1268.5
            859             690            1303.9
            854             690            1332.3
            849             690            1346.1
            844             690            1373.1
            834             690            1573.7
            833             690            1700.5
            829             690            1757.4
            819             690            1888.3
            819             691            1919.1
            814             691            2555.0
            813             691            2616.3

../solutions/ILP2/R05_15_15_05         690.426             691             813             748              13         0.15006        3600.004               0

