             UB              LB           Time(s)
           1140             665               2.0
           1140             828               2.2
           1140             829               2.6
           1140             830               2.9
           1140             831               3.5
           1140             836               3.7
           1140             837              34.1
           1140             838             352.4
           1140             839             873.2
           1140             840            2262.9
           1140             841            2996.4
           1140             842            3545.2

../solutions/ILP2/R06_20_04_10         841.127             842            1140            1140               0         0.26140        3600.010               0

