             UB              LB           Time(s)
            801             529               0.0
            801             661               0.1
            801             667               0.1
            721             667               0.3
            721             669               0.4
            718             669               0.8
            675             669               1.2
            669             669               1.2

../solutions/ILP2/R06_08_03_00         669.000             669             669             669              31         0.00000           1.197               1

