             UB              LB           Time(s)
            650             429               0.1
            650             480               0.1
            650             482               0.1
            650             483               0.3
            650             485               0.4
            650             486               0.5
            650             487               0.6
            650             488               0.8
            650             489               1.8
            650             490               1.8
            650             491               5.0
            650             494               5.4
            650             495               5.8
            650             496               6.0
            650             497               6.4
            650             498               6.6
            650             499               6.9
            650             500               7.4
            650             501               7.8
            650             502               9.2
            650             503               9.9
            650             504              10.5
            650             505              11.4
            650             506              12.7
            650             507              14.3
            650             508              16.5
            650             509              19.7
            650             510              20.8
            650             511              21.8
            650             512              24.9
            650             513              29.8
            650             514              32.0
            650             515              38.0
            649             515              42.4
            644             515              42.4
            644             516              43.7
            644             517              49.5
            644             518              55.4
            644             519              61.5
            622             519             122.0
            622             520             154.1
            622             521             155.5
            622             522             156.7
            622             523             158.3
            622             524             162.2
            622             525             164.6
            622             526             170.3
            622             527             177.9
            622             528             184.9
            622             529             196.0
            622             530             208.0
            622             531             226.6
            579             531             240.2
            579             532             241.3
            579             533             252.8
            579             534             267.5
            579             535             280.8
            570             535             293.5
            570             536             293.8
            570             537             306.1
            570             538             321.1
            570             539             335.2
            570             540             351.9
            570             541             366.0
            570             542             384.9
            570             543             406.9
            570             544             434.5
            570             545             454.7
            570             546             482.8
            570             547             511.3
            570             548             538.1
            570             549             572.4
            570             550             608.5
            570             551             643.7
            570             552             676.8
            570             553             712.8
            570             554             746.0
            570             555             779.6
            570             556             814.1
            570             557             841.3
            570             558             868.9
            570             559             896.6
            570             560             921.4
            570             561             940.3
            570             562             954.9
            570             563             965.9
            570             564             975.8
            570             565             982.9
            570             566             987.3
            570             567             989.7
            570             568             992.0
            570             569             993.2
            570             570             994.2

../solutions/ILP2/R07_10_01_05         570.000             570             570             535               7         0.00000         994.169               1

