             UB              LB           Time(s)
           1140             665               0.6
           1140             829               0.7
           1140             830               0.9
           1140             836               1.3
           1140             837              10.2
           1140             838              91.1
           1140             839             182.8
           1140             840             354.0
           1140             841             526.5
           1140             842             542.4
           1140             843             601.4
           1140             844             911.6
           1137             844             944.9
           1137             845            1052.4
           1133             845            1145.2
           1133             846            1368.1
           1133             847            1674.1
           1133             848            2494.6

../solutions/ILP2/R06_20_01_02         847.720             848            1133            1127               3         0.25154        3600.034               0

