             UB              LB           Time(s)
           1186             637               0.6
           1186             752               0.8
           1186             757               0.9
           1186             768               1.0
           1186             771               1.0
           1186             773               1.1
           1186             777               1.2
           1186             780               1.4
           1186             782               1.6
           1186             783               2.3
           1186             784               2.5
           1186             785               7.9
           1186             786              13.7
           1186             787              14.4
           1186             788              16.5
           1186             789             101.3
           1186             790             182.0
           1182             790             271.6
           1182             791             398.7
           1182             792             401.6
           1182             793             407.7
           1182             794             419.4
           1182             795             428.8
           1182             796             449.1
           1182             798             506.3
           1182             799             588.7
           1182             800             646.4
           1182             801             668.6
           1182             802             686.1
           1182             803             721.4
           1182             804             748.1
           1182             805             828.4
           1182             806             927.4
           1182             807            1050.9
           1182             808            1252.0
           1182             809            1644.8
           1182             810            2032.9
           1182             811            2525.3
           1182             812            3147.1

../solutions/ILP2/R05_20_01_20         811.525             812            1182            1162               1         0.31303        3600.032               0

