             UB              LB           Time(s)
           1048             719               0.2
           1048             785               0.2
           1048             786               1.3
           1025             786               1.5
           1025             787               2.0
           1025             789               2.0
           1025             790             182.6
           1020             790             277.1
           1009             790             684.5
           1007             790            1504.7
            998             790            1539.0
            964             790            1655.6
            948             790            1664.9
            948             791            3181.1

../solutions/ILP2/R08_15_02_00         790.277             791             948             948              36         0.16561        3600.018               0

