             UB              LB           Time(s)
            571             413               0.1
            571             536               0.1
            571             537               0.2
            571             543               0.2
            571             545               0.7
            571             546               0.8
            571             547               0.8
            571             548               1.0
            571             549               1.5
            571             550               1.9
            571             551               2.2
            571             552               3.0
            571             553               3.5
            571             554               4.1
            571             555               4.4
            571             556               4.9
            571             557               5.3
            571             558               5.5
            571             559               5.9
            571             560               6.2
            571             561               6.4
            571             562               6.7
            571             563               6.8
            571             564               6.9
            571             565               7.0
            571             566               7.1
            571             567               7.1
            571             568               7.1
            571             569               7.1
            571             570               7.1
            571             571               7.1

../solutions/ILP2/R09_08_03_20         571.000             571             571             571               0         0.00000           7.121               1

