             UB              LB           Time(s)
           1167             637               0.7
           1167             699               0.8
           1167             722               1.0
           1167             731               1.0
           1167             739               1.2
           1167             740               1.3
           1167             741               3.4
           1167             744               4.7
           1167             745              93.2
           1167             746             881.1
           1162             746            1417.3
           1134             746            1441.5
           1134             747            1523.4
           1123             747            1684.8
           1123             748            1891.8
           1119             748            1944.8
           1119             749            2330.4
           1119             750            3373.8

../solutions/ILP2/R07_20_01_02         749.100             750            1119            1109               5         0.32976        3600.030               0

