             UB              LB           Time(s)
            797             582               0.2
            797             597               0.2
            797             598               0.3
            797             611               0.3
            797             612               0.4
            797             619               0.4
            797             620               0.5
            797             621               0.5
            797             622               0.6
            797             623               0.7
            797             624               3.0
            766             624              19.7
            765             624              19.7
            643             624              20.8
            639             624              21.4
            637             624              21.6
            636             624              22.3
            635             624              33.2
            635             625              48.1
            635             626              63.9
            635             627              80.6
            635             628             133.4
            635             629             158.0
            635             630             192.9
            635             631             267.2
            635             632             396.9
            635             633             585.8
            635             634             671.2
            635             635             679.7

../solutions/ILP2/R08_10_04_01         635.000             635             635             623              12         0.00000         679.713               1

