             UB              LB           Time(s)
            797             582               0.1
            797             595               0.1
            797             597               0.1
            797             611               0.2
            797             620               0.2
            797             623               0.2
            797             624               0.8
            770             624              15.3
            770             625              21.9
            770             626              39.4
            770             627              70.4
            765             627              90.7
            756             627             106.4
            756             628             133.4
            756             629             134.2
            733             629             138.1
            733             630             143.5
            733             631             148.3
            730             631             149.2
            730             632             151.2
            730             633             157.2
            730             634             166.0
            730             635             174.5
            730             636             183.8
            730             637             197.9
            730             638             215.3
            730             639             233.2
            730             640             255.8
            730             641             290.3
            730             642             331.0
            730             643             372.1
            730             644             424.0
            715             644             467.1
            711             644             469.4
            711             645             488.8
            699             645             494.8
            699             646             545.5
            699             647             597.6
            699             648             658.9
            699             649             723.2
            699             650             797.7
            699             651             903.7
            699             652            1003.6
            699             653            1104.1
            699             654            1236.2
            699             655            1376.4
            699             656            1514.4
            699             657            1669.3
            699             658            1860.9
            699             659            2052.2
            699             660            2249.4
            699             661            2481.1
            698             661            2617.5
            698             662            2730.1
            698             663            2969.7
            698             664            3221.8
            698             665            3536.6

../solutions/ILP2/R08_10_01_02         664.247             665             698             680               9         0.04728        3600.005               0

