             UB              LB           Time(s)
            885             629               0.7
            885             673               0.9
            885             674               1.0
            885             676               1.4
            825             676               6.2
            823             676              12.7
            815             676              13.8
            768             676             118.8
            764             676             120.7
            760             676             122.0
            738             676             124.2
            710             676             129.2
            708             676             135.5
            704             676             137.5
            704             677             143.3
            702             677             186.2
            698             677             198.2
            698             678             631.6
            698             679             953.7
            698             680            1154.5
            698             681            1561.3
            698             682            3316.3

../solutions/ILP2/R08_12_12_02         681.087             682             698             676              11         0.02292        3600.003               0

