             UB              LB           Time(s)
            622             366               0.1
            622             456               0.2
            622             460               0.2
            622             463               0.2
            622             484               0.3
            578             484               1.3
            574             484               1.5
            570             484               2.2
            566             484               2.9
            564             484               3.0
            564             485               5.6
            562             485              11.1
            560             485              11.4
            560             486              12.5
            543             486              16.6
            543             487              20.6
            543             488              28.7
            543             489              32.6
            543             490              36.5
            543             491              39.0
            543             492              40.2
            543             493              41.2
            543             494              45.5
            543             495              50.1
            543             496              53.0
            543             497              55.7
            543             498              58.0
            543             499              60.6
            543             500              65.3
            543             501              66.1
            543             502              66.5
            543             503              67.2
            543             504              68.3
            543             505              71.1
            543             506              73.9
            543             507              75.7
            543             508              77.3
            543             509              78.3
            543             510              79.8
            543             511              82.5
            543             512              86.7
            543             513              87.4
            543             514              91.1
            543             515              93.1
            543             516              95.0
            543             517              96.2
            543             518              97.9
            543             519              98.7
            543             520             100.1
            543             521             103.8
            543             522             106.3
            543             523             106.7
            543             524             110.2
            543             525             122.8
            542             525             130.1
            541             525             146.4
            541             526             151.6
            541             527             185.9
            541             528             249.3
            541             529             311.7
            541             530             389.7
            541             531             462.8
            541             532             526.9
            541             533             596.2
            541             534             663.0
            541             535             734.8
            541             536             822.0
            541             537             916.3
            541             538            1002.7
            541             539            1052.4
            541             540            1064.8
            541             541            1067.3

../solutions/ILP2/R05_10_03_02         541.000             541             541             525               8         0.00000        1067.298               1

