             UB              LB           Time(s)
           1140             665               0.4
           1140             829               0.5
           1140             830               0.7
           1140             831               1.0
           1140             833               1.1
           1140             834               3.7
           1139             834               3.8
           1139             835              10.6
           1139             836              10.6
           1139             837              15.8
           1134             837              47.7
           1134             838              59.2
           1134             839              89.4
           1130             839             106.9
           1130             840             172.7
           1101             840             287.5
           1101             841             482.6
           1101             842             620.8
           1101             843             947.4
           1101             844            1310.3
           1101             845            2793.1
           1096             845            3253.0
           1088             845            3508.2

../solutions/ILP2/R06_20_01_00         844.393             845            1088            1088              16         0.22335        3600.029               0

