             UB              LB           Time(s)
           1132             601               2.1
           1132             724               2.5
           1132             726               2.9
           1132             727              22.0
           1132             728              22.6
           1132             730              54.6
           1132             731              55.0
           1132             733              56.2
           1132             734              57.0
           1132             735              57.3
           1132             736              60.8
           1132             737              63.6
           1132             738              64.3
           1132             740              64.5
           1132             741              64.7
           1132             742              64.8
           1132             743              66.2
           1132             744              67.4
           1132             745              67.5
           1132             746              67.7
           1132             747              68.8
           1132             748              69.0
           1132             749              69.3
           1132             751              70.6
           1132             754              70.7
           1132             755              71.8
           1132             756              72.2
           1132             757              74.2
           1132             758              79.9
           1132             759              87.1
           1132             760              90.9
           1132             761              91.9
           1132             765              93.2
           1132             767             108.7
           1132             770             109.7
           1132             771             109.9
           1132             773             110.7
           1132             774             113.4
           1132             775             114.0
           1132             777             115.3
           1132             781             118.3
           1132             782             120.6
           1132             784             122.0
           1132             788             123.7
           1132             789             125.5
           1132             790             158.0
           1132             791             197.0
           1132             792             407.5
           1132             793            1030.8
           1132             794            1337.4
           1132             795            3356.7

../solutions/ILP2/R09_20_05_10         794.523             795            1132            1132               0         0.29770        3600.011               0

