             UB              LB           Time(s)
           1048             719               0.4
           1048             785               0.6
           1048             786               3.2
           1048             787               7.5
           1027             787               9.4
           1026             787              68.2
           1026             788              74.3
           1026             789              74.4
           1026             790             155.4
           1022             790             236.0
           1020             790             261.2
           1018             790             274.6
           1018             791             472.3
           1010             791             905.1
           1009             791             928.6
           1008             791             931.0
            990             791            1318.2
            958             791            1603.0
            956             791            1651.1
            956             792            1776.2
            954             792            2588.1
            952             792            2683.6
            952             793            2859.4
            938             793            3558.2

../solutions/ILP2/R08_15_03_01         792.431             793             938             918              20         0.15458        3600.005               0

