             UB              LB           Time(s)
            501             410               0.0
            501             430               0.1
            501             464               0.1
            501             466               0.1
            474             466               0.3
            472             466               0.4
            471             466               0.5
            471             467               0.5
            471             468               0.6
            471             469               0.9
            471             470               1.4
            470             470               1.5

../solutions/ILP2/R05_06_04_01         470.000             470             470             466               4         0.00000           1.485               1

