             UB              LB           Time(s)
           1186             637               1.3
           1186             753               1.6
           1186             757               1.6
           1186             768               1.8
           1186             772               1.9
           1186             774               2.1
           1186             775               2.2
           1186             776               2.4
           1186             777               7.0
           1186             778               7.0
           1186             779              18.5
           1186             780              18.7
           1186             782              19.3
           1186             786              20.2
           1186             787              32.5
           1186             788              45.2
           1186             789              51.4
           1186             790             245.2
           1186             791             322.1
           1186             792             632.8
           1186             793             905.6
           1186             794             972.3
           1186             795            1068.7
           1186             796            1169.7
           1186             797            1181.4
           1186             798            1699.2
           1186             799            1963.9
           1186             800            2212.8
           1186             801            2581.3
           1186             802            2907.0
           1186             803            3554.1

../solutions/ILP2/R05_20_03_20         802.098             803            1186            1186               0         0.32293        3600.031               0

